TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
166,2016,Lleida,A-2,Autopista libre y autovía,462.21,468.02,5.81,38057.0,27257.0,10800.0,80705577.0,13,1,16.107933
167,2016,Lleida,A-2,Autopista libre y autovía,468.02,470.99,2.97,25777.0,17640.0,8137.0,27943556.8,0,0,0.0
168,2016,Lleida,A-2,Autopista libre y autovía,470.99,473.84,2.85,25777.0,17640.0,8137.0,26814524.2,2,1,7.458644
169,2016,Lleida,A-2,Autopista libre y autovía,473.84,477.37,3.53,35056.0,26239.0,8817.0,45167903.2,5,1,11.069808
170,2016,Lleida,A-2,Autopista libre y autovía,477.37,484.71,7.34,34649.0,25387.0,9262.0,92828135.9,5,1,5.386298
171,2016,Lleida,A-2,Autopista libre y autovía,484.71,497.83,13.12,28372.0,20137.0,8235.0,135867833.6,11,1,8.096103
172,2016,Lleida,A-2,Autopista libre y autovía,497.83,503.21,5.38,32947.0,23499.0,9448.0,64698023.9,9,1,13.91078
173,2016,Lleida,A-2,Autopista libre y autovía,503.21,509.68,6.47,34977.0,25214.0,9763.0,82599934.4,8,1,9.685238
174,2016,Lleida,A-2,Autopista libre y autovía,509.68,514.51,4.83,32945.0,23481.0,9464.0,58080387.8,8,1,13.774013
175,2016,Lleida,A-2,Autopista libre y autovía,514.51,520.07,5.56,30696.0,21713.0,8983.0,62294462.4,3,1,4.815837
176,2016,Lleida,A-2,Autopista libre y autovía,520.07,524.87,4.8,27255.0,20605.0,6650.0,47750760.0,2,1,4.188415
177,2016,Lleida,A-2,Autopista libre y autovía,524.87,530.68,5.81,27255.0,20605.0,6650.0,57798315.7,5,1,8.650771
178,2016,Barcelona,A-2,Autopista libre y autovía,530.68,532.08,1.4,27019.0,20118.0,6901.0,13806709.0,0,0,0.0
179,2016,Barcelona,A-2,Autopista libre y autovía,532.08,546.14,14.06,27019.0,20118.0,6901.0,138658806.1,18,1,12.981505
180,2016,Barcelona,A-2,Autopista libre y autovía,546.14,549.7,3.56,28740.0,21601.0,7139.0,37344756.0,3,1,8.033256
181,2016,Barcelona,A-2,Autopista libre y autovía,549.7,559.31,9.61,40909.0,33403.0,7506.0,143494453.8,25,1,17.422276
